Paises;Continente;Casos Positivos;CxM Habitantes;Fallecidos;Porcentaje Fallecidos;FxM Habitantes;Recuperados;Porcentaje Recuperados;Anio_x;PIB Anual (M.E);PIB Anual (M.D);Var PIB Anual;PIB Per Capita (E);PIB Per Capita (D);Var PIB Per Capita
Bolivia;América;300;25,9;24;8 %;2,1;2;0.7 %;2018;34113;40288;4.2;3005;3549;0.6
Senegal;África;278;17,2;2;0.7 %;0,1;152;54.7 %;2018;19897;23498;6.7;1255;1482;7.4
Montenegro;Europa;263;424,2;2;0.8 %;3,2;5;1.9 %;2018;4663;5457;5.1;7490;8763;8.4
Vietnam;Asia;258;2,7;0;0 %;0;144;55.8 %;2018;204295;241272;7.1;2138;2525;3.7
Guinea;África;250;20,2;0;0 %;0;17;6.8 %;2018;10245;12099;5.8;825;975;9.2
Georgia;Europa;242;65,1;3;1.2 %;0,8;60;24.8 %;2018;13725;16209;4.7;3686;4353;3
República Democrática del Congo;África;223;2,5;20;9 %;0,2;16;7.2 %;2018;39881;47099;5.8;474;560;16
Sri Lanka;Asia;199;9,1;7;3.5 %;0,3;54;27.1 %;2018;75276;88901;3.2;3474;4102;-4.4
Kenia;África;191;4;7;3.7 %;0,1;24;12.6 %;2018;74452;87928;6.3;1449;1711;4.5
Yibuti;África;187;171,6;2;1.1 %;1,8;36;19.3 %;2018;2475;2923;5.5;2359;2787;-1.7
Venezuela;América;175;5,4;9;5.1 %;0,3;93;53.1 %;2018;83351;98437;-18;2887;3410;-33.4
Guatemala;América;153;9,1;3;2 %;0,2;19;12.4 %;2018;66436;78461;3.1;3848;4545;-2.7
Brunéi;Asia;136;302,2;1;0.7 %;2,2;104;76.5 %;2018;11489;13568;0.1;25992;30668;4.1
Paraguay;América;134;18,6;6;4.5 %;0,8;22;16.4 %;2018;35439;41854;3.7;5025;5934;1.2
El Salvador;América;125;18,5;6;4.8 %;0,9;21;16.8 %;2018;22064;26057;2.5;3321;3922;-0.9
Camboya;Asia;122;7,9;0;0 %;0;77;63.1 %;2018;20698;24444;7.5;1274;1504;3.8
Ruanda;África;120;9,6;0;0 %;0;18;15 %;2018;8052;9510;8.6;655;773;-3.1
Trinidad y Tobago;América;112;82,4;8;7.1 %;5,9;12;10.7 %;2018;20159;23808;-0.2;14505;17130;0.8
Madagascar;África;102;3,8;0;0 %;0;11;10.8 %;2018;11730;13853;4.6;447;528;12.6
Mónaco;Europa;92;2359;1;1.1 %;25,6;5;5.4 %;2018;6084;7185;6.1;158842;187593;7.1
Malí;África;87;4,3;7;8 %;0,3;22;25.3 %;2018;14547;17180;4.7;763;901;0.9
Liechtenstein;Europa;79;2025,6;1;1.3 %;25,6;55;69.6 %;2018;5823;6876;0;150130;179175;-0.2
Liechtenstein;Europa;79;2025,6;1;1.3 %;25,6;55;69.6 %;2017;0;0;0.7;150130;179175;-0.2
Togo;África;76;9,9;3;3.9 %;0,4;25;32.9 %;2018;4537;5359;4.9;575;679;5.4
Jamaica;América;69;2,5;4;5.8 %;0,1;13;18.8 %;2018;13091;15461;1.6;4461;5268;-0.4
Etiopía;África;69;0,7;3;4.3 %;0;10;14.5 %;2018;67984;80289;7.7;622;735;-1.2
Barbados;América;68;234,5;4;5.9 %;13,8;11;16.2 %;2018;4307;5087;-0.6;15061;17758;-2.3
República del Congo;África;60;11;5;8.3 %;0,9;5;8.3 %;2018;9537;11264;1;1819;2148;-0
Uganda;África;53;1,3;0;0 %;0;4;7.5 %;2018;23807;28116;6.1;557;658;-2.1
Gabón;África;49;22,1;1;2 %;0,5;1;2 %;2018;14289;16875;0.8;6742;7963;5.4
Liberia;África;48;10,6;5;10.4 %;1,1;3;6.3 %;2018;2750;3248;1.2;571;674;-7.7
Bahamas;América;46;117,9;8;17.4 %;20,5;5;10.9 %;2018;10521;12425;1.6;27906;32997;-3.5
Guyana;América;45;57;6;13.3 %;7,6;8;17.8 %;2018;3284;3879;4.1;4216;4979;2.8
Zambia;África;40;2,3;2;5 %;0,1;28;70 %;2018;22625;26720;3.8;1304;1540;-4
Guinea-Bisáu;África;38;23,5;0;0 %;0;0;0 %;2018;1210;1429;3.8;646;762;-8.2
Benín;África;35;2,9;1;2.9 %;0,1;5;14.3 %;2018;12082;14269;6.7;1052;1242;4.6
Eritrea;África;34;9,7;0;0 %;0;0;0 %;2018;1699;2007;12.2;335;396;0
Tanzania;África;32;0,6;3;9.4 %;0,1;5;15.6 %;2018;48139;56852;7;855;1009;-0.8
Siria;Asia;25;1,4;5;20 %;0,3;5;20 %;2017;13440;15183;1.9;787;890;22.9
Libia;África;25;3,6;1;4 %;0,1;8;32 %;2018;40952;48364;7.9;6132;7242;49.2
Antigua y Barbuda;América;21;214,3;2;9.5 %;20,4;0;0 %;2018;1364;1611;7.4;14164;16727;4
Somalia;África;21;1,3;1;4.8 %;0,1;1;4.8 %;2018;3997;4721;2.8;266;315;-2.6
Mozambique;África;20;0,7;0;0 %;0;2;10 %;2018;12190;14396;3.3;413;488;6.3
Maldivas;Asia;20;52,6;0;0 %;0;13;65 %;2018;4511;5328;7.5;8748;10332;1
Angola;África;19;0,6;2;10.5 %;0,1;4;21.1 %;2018;89671;105902;-1.2;2910;3437;-23.6
Sudán;África;19;0,4;2;10.5 %;0;2;10.5 %;2018;34591;40852;-2.3;828;977;-69
Laos;Asia;18;2,5;0;0 %;0;0;0 %;2018;15343;18120;6.3;2173;2566;-0
Guinea Ecuatorial;África;18;12,6;0;0 %;0;3;16.7 %;2018;11374;13432;-6.1;8689;10262;0.8
Namibia;África;16;6,5;0;0 %;0;3;18.8 %;2018;12289;14513;-0.1;5091;6013;0.5
Mongolia;Asia;16;5,1;0;0 %;0;4;25 %;2018;11064;13067;7.2;3490;4122;7.5
Dominica;América;16;222,2;0;0 %;0;5;31.3 %;2018;466;551;2.3;6513;7691;0.3
Fiyi;Oceanía;16;18;0;0 %;0;0;0 %;2018;4677;5524;3.5;5294;6253;-1.5
Santa Lucía;América;15;83,3;0;0 %;0;1;6.7 %;2018;1627;1922;0.9;8947;10567;0.7
Zimbabue;África;14;0,9;3;21.4 %;0,2;0;0 %;2018;26249;31001;6.2;1818;2147;28.2
Granada;América;14;127,3;0;0 %;0;0;0 %;2018;1003;1185;4.2;9003;10632;0.1
Belice;América;13;31,7;2;15.4 %;4,9;0;0 %;2018;1630;1925;3;4255;5025;-3
Botsuana;África;13;5,5;1;7.7 %;0,4;0;0 %;2018;15762;18615;4.5;6993;8258;0.2
Malaui;África;12;29,3;2;16.7 %;4,9;0;0 %;2018;5982;7065;3.5;330;389;4.4
San Vicente y las Granadinas;América;12;109,1;0;0 %;0;1;8.3 %;2018;687;811;2;6231;7359;-2.4
San Cristóbal y Nieves;América;12;226,4;0;0 %;0;0;0 %;2018;830;980;4.6;15824;18688;-1.2
Suazilandia;África;12;10,8;0;0 %;0;7;58.3 %;2018;3989;4711;2.4;3511;4146;-2.6
Nepal;Asia;12;0,4;0;0 %;0;1;8.3 %;2018;24589;29040;6.7;875;1034;8.5
Seychelles;África;11;112,2;0;0 %;0;0;0 %;2018;1346;1590;3.6;13915;16434;0.2
Chad;África;11;0,7;0;0 %;0;2;18.2 %;2018;9545;11273;2.6;617;728;3.8
Surinam;América;10;17,2;1;10 %;1,7;4;40 %;2018;3040;3591;1.9;5279;6234;10.9
Sierra Leona;África;10;1,2;0;0 %;0;0;0 %;2018;3459;4085;3.4;452;534;1.5
Gambia;África;9;3,7;1;11.1 %;0,4;2;22.2 %;2018;1376;1625;6.5;603;713;0.8
Nicaragua;América;9;1,4;1;11.1 %;0,2;0;0 %;2018;11108;13118;-3.8;1718;2029;-10.4
Cabo Verde;África;8;14,5;1;12.5 %;1,8;1;12.5 %;2018;1676;1979;5.1;3082;3639;7.2
República Centroafricana;África;8;1,4;0;0 %;0;0;0 %;2018;1880;2220;3.8;403;476;1
Mauritania;África;7;1,7;1;14.3 %;0;2;28.6 %;2018;4433;5235;3.6;1007;1189;-0.7
Bután;Asia;5;6,7;0;0 %;0;2;40 %;2018;2186;2582;4.6;2898;3423;3.3
Burundi;África;5;0,5;0;0 %;0;0;0 %;2018;2571;3037;1.6;230;272;-11.3
Santo Tomé y Príncipe;África;4;19;0;0 %;0;0;0 %;2018;358;422;2.7;1694;2001;5.4
Sudán del Sur;África;4;0,3;0;0 %;0;0;0 %;2017;3043;3438;-5.5;279;315;-2.9
Papúa Nueva Guinea;Asia;2;0,1;0;0 %;0;0;0 %;2018;19896;23498;-0.8;2312;2730;-3.1
Timor Oriental;Asia;2;1,4;0;0 %;0;1;50 %;2018;2185;2581;2.8;1724;2036;-2.7
Yemen;Asia;1;0;0;0 %;0;0;0 %;2018;22790;26914;-2.7;800;944;10.3
